image,timestamp_start_fixation,timestamp_end_fixation,x_position,y_position,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,0.027,0.152,1539,1727,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,0.166,0.362,1534,1739,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,0.417,0.612,971,1633,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,0.653,0.904,966,2337,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,0.96,1.071,1730,2122,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,1.085,1.211,1711,2071,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,1.224,1.351,1686,2068,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,1.377,1.642,1841,2030,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,1.823,1.935,1660,2670,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,2.323,2.449,707,2358,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,2.632,2.868,875,2073,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,2.895,3.062,918,2394,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,3.075,3.216,913,2415,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,3.229,3.34,942,2402,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,3.395,3.566,1610,2455,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,3.578,3.772,1618,2469,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,3.911,4.105,1688,983,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
a28cb755-423caf3b-13530617-03aaff16-5ca9a2b3,4.342,4.676,723,1513,23,23,0.99,0.51,0,0,2498,3000,1021,0,2819,2160
